212.1,22.68
212.75,22.68
213.35,22.68
213.4,22.68
214.6,22.68
215.7,22.68
215.75,22.68
216.25,22.69
216.3,22.69
216.35,22.69
217.05,22.72
217.1,22.72
218.85,22.8
218.9,22.81
218.95,22.81
219,22.81
219.05,22.81
219.1,22.82
219.15,22.82
220.45,22.89
220.5,22.89
223,23.02
223.05,23.02
223.1,23.02
224.35,23.08
224.4,23.09
225.4,23.13
225.45,23.14
231.65,23.43
231.7,23.43
238.25,23.73
238.3,23.73
245.9,24.07
245.95,24.07
258.4,24.62
258.45,24.63
303.85,26.63
303.9,26.63
331,27.82
331.05,27.82
384,30.04
384.05,30.05
416.25,31.3
416.3,31.31
446.4,32.39
446.45,32.39
453.25,32.62
453.3,32.62
470.65,33.19
492.3,33.85
514.75,34.49
545.85,35.29
581.4,36.1
613.5,36.74
664.35,37.61
710.75,38.28
748.55,38.74
780.65,39.08
792.6,39.19
815.55,39.41
842.4,39.66
878.15,39.95
917.95,40.22
939.5,40.36
985.85,40.62
1026.85,40.83
1067.8,41
1079.25,41.05
1099.35,41.13
1119.45,41.2
1383.1,41.9
1573.7,42.18
1854.6,42.55
2177.7,42.87
2511.5,43.13
2755.35,43.23
3216.25,43.4
3719.55,43.8
4111.9,43.91
4334.6,44.01
4530.6,44.13
4565.8,44.15
