Time (s) Run #1;Sound Wave (%) Run #1
0.1585;-4.0071
0.159;1.33955
0.1595;3.5447
0.16;-0.62465
0.1605;-4.90075
0.161;-2.7261
0.1615;2.6846
0.162;1.73605
0.1625;-3.63805
0.163;-4.2206
0.1635;0.83935
0.164;3.87105
0.1645;0.24765
0.165;-4.5256
0.1655;-1.37495
0.166;3.5386
0.1665;0.79665
0.167;-2.903
0.1675;-4.33955
0.168;0.30255
0.1685;4.0937
0.169;1.16875
0.1695;-4.7147
0.17;-2.04595
0.1705;3.16345
0.171;2.94995
0.1715;-3.8668
0.172;-3.86375
0.1725;-0.50875
0.173;3.84055
0.1735;-0.0299
0.174;-4.50425
0.1745;-2.6529
0.175;2.6785
0.1755;3.33425
0.176;-3.3239
0.1765;-4.2511
0.177;-1.2255
0.1775;3.9717
0.178;0.59535
0.1785;-4.3365
0.179;-3.391
0.1795;1.9282
0.18;3.48675
0.1805;-1.03335
0.181;-4.611
0.1815;-0.2312
0.182;3.75515
0.1825;1.2023
0.183;-4.03455
0.1835;-3.96135
0.184;1.19925
0.1845;3.624
0.185;-0.4325
0.1855;-4.95565
0.186;-1.07605
0.1865;3.50505
0.187;1.83975
0.1875;-3.4886
0.188;-4.38225
0.1885;0.5191
0.189;3.7582
0.1895;-1.5122
0.19;-4.8855
0.1905;-1.64335
0.191;3.2885
0.1915;2.51685
0.192;-4.16875
0.1925;-4.54695
0.193;-0.097
0.1935;3.7216
0.194;-0.60635
0.1945;-4.6842
0.195;-0.36235
0.1955;2.9042
0.196;2.9957
0.1965;-2.18625
0.197;-4.7574
0.1975;1.10775
0.198;3.8497
0.1985;0.1043
0.199;-4.4341
0.1995;-2.91215
0.2;3.54775
0.2005;3.41355
0.201;-1.44815
0.2015;-4.83365
0.202;0.38185
0.2025;3.80395
0.203;0.7204
0.2035;-4.21755
0.204;-3.55875
0.2045;3.15125
0.205;2.73035
0.2055;-0.67955
0.206;-4.5378
0.2065;-0.28305
0.207;3.8619
0.2075;1.5622
0.208;-3.66855
0.2085;-3.93695
0.209;1.16875
0.2095;3.20615
0.21;-1.8416
0.2105;-4.65675
0.211;-1.02725
0.2115;3.50505
0.212;2.0807
0.2125;-3.2507
0.213;-4.43715
0.2135;0.25375
0.214;3.3251
0.2145;-1.3719
0.215;-4.96175
0.2155;-1.98495
0.216;2.97435
0.2165;2.38875
0.217;-2.9152
0.2175;-4.89465
0.218;1.2755
0.2185;3.4898
0.219;-2.4638
0.2195;-4.83975
0.22;-2.66205
0.2205;2.58395
0.221;3.04145
0.2215;-1.94835
0.222;-4.16265
0.2225;0.8241
0.223;3.8009
0.2235;0.3239
0.224;-4.3121
0.2245;-3.0311
0.225;2.24845
0.2255;2.3735
0.226;-2.964
0.2265;-4.39445
0.227;0.1714
0.2275;3.84665
0.228;1.0193
0.2285;-4.65065
0.229;-2.0368
0.2295;3.01095
0.23;2.80355
0.2305;-2.3662
0.231;-4.6476
0.2315;-0.6338
0.232;3.60265
0.2325;1.56525
0.233;-4.53475
0.2335;-2.72915
0.234;2.5443
0.2345;3.26715
0.235;-1.5671
0.2355;-4.6171
0.236;-1.18585
0.2365;3.5569
0.237;2.39485
0.2375;-4.0925
0.238;-3.1592
0.2385;2.0441
0.239;3.624
0.2395;-0.8778
0.24;-4.6415
0.2405;-1.93615
0.241;3.1299
0.2415;1.23585
0.242;-3.96745
0.2425;-3.91865
0.243;1.1413
0.2435;3.5569
0.244;-0.38065
0.2445;-4.6781
0.245;-2.7688
0.2455;3.4593
0.246;1.7574
0.2465;-3.46725
0.247;-4.3243
0.2475;0.5557
0.248;3.6972
0.2485;0.4032
0.249;-4.35785
0.2495;-1.68605
0.25;3.1299
0.2505;2.33385
0.251;-2.9457
0.2515;-4.6232
0.252;1.5805
0.2525;3.52945
0.253;1.0559
0.2535;-4.76045
0.254;-2.37535
0.2545;2.7395
0.255;2.7517
0.2555;-2.2564
0.256;-4.7269
0.2565;-0.8595
0.257;3.6972
0.2575;-0.00245
0.258;-4.49205
0.2585;-2.93045
0.259;2.28505
0.2595;3.2397
0.26;-1.53965
0.2605;-4.80315
0.261;-1.5427
0.2615;3.76735
0.262;0.7082
0.2625;-4.16875
0.263;-3.4825
0.2635;1.71775
0.264;3.52335
0.2645;-0.72225
0.265;-4.60185
0.2655;-2.2076
0.266;3.6972
0.2665;1.50425
0.267;-3.55875
0.2675;-3.77835
0.268;1.2328
0.2685;3.85885
0.269;0.15615
0.2695;-4.22975
0.27;-0.9083
0.2705;3.6362
0.271;2.1661
0.2715;-2.99755
0.272;-4.14435
0.2725;0.5252
0.273;3.8192
0.2735;0.7265
0.274;-4.69335
0.2745;-1.78975
0.275;3.06585
0.2755;2.5016
0.276;-4.0559
0.2765;-3.74785
0.277;-0.41725
0.2775;3.5264
0.278;-0.58195
0.2785;-4.7086
0.279;-2.5858
0.2795;2.6175
0.28;2.9896
0.2805;-3.46725
0.281;-4.65675
0.2815;0.85155
0.282;3.7277
0.2825;0.2507
0.283;-4.367
0.2835;-3.10125
0.284;2.12645
0.2845;3.29765
0.285;-1.37495
0.2855;-4.5439
0.286;-0.02685
0.2865;3.63925
0.287;0.8607
0.2875;-4.10165
0.288;-3.72345
0.2885;1.43105
0.289;3.502
0.2895;-2.42415
0.29;-4.65065
0.2905;-0.67955
0.291;3.50505
0.2915;1.5195
0.292;-3.5557
0.2925;-4.04675
0.293;0.8241
0.2935;3.11465
0.294;-1.7562
0.2945;-4.67505
0.295;-1.34445
0.2955;3.2763
0.296;2.14475
0.2965;-3.025
0.297;-4.367
0.2975;1.9099
0.298;3.48065
0.2985;-0.92355
0.299;-4.6659
0.2995;-2.01545
0.3;3.6606
0.3005;2.67545
0.301;-2.41805
0.3015;-3.6716
0.302;1.34565
0.3025;3.62095
0.303;-0.27085
0.3035;-4.4219
0.304;-2.58275
0.3045;3.65145
0.305;1.96175
0.3055;-3.1653
0.306;-3.92475
0.3065;0.85155
0.307;4.02965
0.3075;0.76615
0.308;-3.8973
0.3085;-2.94875
0.309;3.40135
0.3095;2.5992
0.31;-2.64985
0.3105;-4.32735
0.311;-0.0604
0.3115;3.6728
0.312;1.05895
0.3125;-3.95525
0.313;-3.8119
0.3135;1.15045
0.314;2.6541
0.3145;-2.41805
0.315;-4.9038
0.3155;-1.1462
0.316;3.0994
0.3165;1.35175
0.317;-3.72345
0.3175;-4.43715
0.318;2.0075
0.3185;2.9957
0.319;-1.71045
0.3195;-4.8245
0.32;-1.59455
0.3205;3.12685
0.321;2.23015
0.3215;-2.89385
